"contry_of_res","n"
"United States",113
"United Arab Emirates",82
"India",81
"New Zealand",80
"United Kingdom",77
"Jordan",46
"Australia",27
"Canada",15
"Sri Lanka",14
"Afghanistan",13
"France",11
"Netherlands",10
"Brazil",9
"Mexico",8
"Iran",7
"Russia",7
"Ireland",5
"Italy",5
"Malaysia",5
"Viet Nam",5
"Austria",4
"Germany",4
"Philippines",4
"Bangladesh",3
"Belgium",3
"Egypt",3
"Kazakhstan",3
"Pakistan",3
"Romania",3
"Saudi Arabia",3
"Spain",3
"AmericanSamoa",2
"Argentina",2
"Armenia",2
"Bahamas",2
"Ethiopia",2
"Iceland",2
"South Africa",2
"Sweden",2
"Ukraine",2
"Angola",1
"Aruba",1
"Azerbaijan",1
"Bolivia",1
"Burundi",1
"Chile",1
"China",1
"Costa Rica",1
"Cyprus",1
"Czech Republic",1
"Ecuador",1
"Finland",1
"Hong Kong",1
"Indonesia",1
"Iraq",1
"Japan",1
"Lebanon",1
"Nepal",1
"Nicaragua",1
"Niger",1
"Oman",1
"Portugal",1
"Serbia",1
"Sierra Leone",1
"Tonga",1
"Turkey",1
"Uruguay",1
